City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
olafsvik,11,IS,1619395723,89,64.8945,-23.7142,39.47,14.97
nouadhibou,0,MR,1619395724,94,20.931,-17.0347,64.4,12.66
adrar,1,DZ,1619395724,15,25.75,-1,82.69,8.63
grindavik,0,IS,1619395724,93,63.8424,-22.4338,39.2,13.8
rorvik,79,NO,1619395725,66,64.8621,11.2373,38.5,11.72
sheridan,75,US,1619395725,47,44.8333,-106.9173,61.0,3.44
kargat,100,RU,1619395726,63,55.1956,80.2811,40.6,8.46
tiksi,100,RU,1619395726,95,71.6872,128.8694,27.45,5.17
cozumel,1,MX,1619395653,69,20.5083,-86.9458,82.99,6.91
touros,20,BR,1619395727,83,-5.1989,-35.4608,78.8,6.91
mar del plata,40,AR,1619395727,77,-38.0023,-57.5575,60.01,3.44
hobart,40,AU,1619395550,48,-42.8794,147.3294,63.0,19.57
lanigan,100,CA,1619395728,16,51.8501,-105.0344,50.0,9.22
puerto ayora,42,EC,1619395573,81,-0.7393,-90.3518,76.15,7.56
northam,63,AU,1619395728,55,-31.6667,116.6667,66.2,4.61
bocas del toro,14,PA,1619395570,73,9.3333,-82.25,80.78,4.56
chokwe,0,MZ,1619395729,94,-24.5333,32.9833,66.42,3.47
sao joao da barra,42,BR,1619395729,89,-21.6403,-41.0511,74.61,6.44
severo-kurilsk,100,RU,1619395730,98,50.6789,156.125,32.41,13.42
tazovskiy,68,RU,1619395730,94,67.4667,78.7,16.02,9.51
arraial do cabo,94,BR,1619395437,82,-22.9661,-42.0278,74.3,8.59
bambous virieux,75,MU,1619395731,88,-20.3428,57.7575,77.0,14.97
mount gambier,90,AU,1619395574,94,-37.8333,140.7667,53.6,5.75
nikolskoye,90,RU,1619395731,87,59.7035,30.7861,37.99,8.95
uglich,100,RU,1619395732,86,57.5275,38.3317,32.47,12.75
mehamn,99,NO,1619395732,81,71.0357,27.8492,33.1,8.72
emerald,1,AU,1619395733,32,-23.5333,148.1667,69.8,11.5
kawalu,27,ID,1619395733,90,-7.3817,108.2082,73.8,0.89
lompoc,100,US,1619395733,72,34.6391,-120.4579,57.2,9.22
namibe,0,AO,1619395734,67,-15.1961,12.1522,76.57,9.75
yellowknife,90,CA,1619395546,72,62.456,-114.3525,9.0,13.8
leshukonskoye,100,RU,1619395735,94,64.8989,45.7622,39.52,5.08
guerrero negro,100,MX,1619395735,69,27.9769,-114.0611,63.3,16.44
oranjemund,100,NA,1619395765,90,-28.55,16.4333,62.02,3.96
saint-georges,100,GF,1619395766,98,3.9,-51.8,74.23,1.5
chuy,53,UY,1619395766,83,-33.6971,-53.4616,59.49,9.48
urumqi,0,CN,1619395767,38,43.801,87.6005,39.2,2.04
temecula,1,US,1619395634,45,33.4936,-117.1484,66.99,13.8
kahului,40,US,1619395767,54,20.8947,-156.47,82.4,24.16
phibun mangsahan,59,TH,1619395768,78,15.2447,105.2291,88.0,3.44
suluq,0,LY,1619395768,88,31.6682,20.2521,59.45,8.86
bayamo,75,CU,1619395769,58,20.3792,-76.6433,84.2,5.75
dong hoi,98,VN,1619395769,92,17.4833,106.6,79.66,2.44
euskirchen,100,DE,1619395769,82,50.6667,6.7833,37.99,3.18
chokurdakh,100,RU,1619395770,94,70.6333,147.9167,23.97,13.73
georgetown,20,SH,1619395770,69,-7.9333,-14.4167,78.8,13.8
ishigaki,20,JP,1619395771,68,24.3448,124.1572,73.4,13.8
tarakan,40,ID,1619395771,89,3.3,117.6333,82.4,3.44
taltal,36,CL,1619395772,81,-25.4,-70.4833,62.89,3.71
awjilah,0,LY,1619395772,53,29.1081,21.2869,63.91,11.86
rawson,80,AR,1619395772,54,-43.3002,-65.1023,61.79,21.83
nome,1,US,1619395773,65,64.5011,-165.4064,42.8,3.44
beloha,0,MG,1619395773,74,-25.1667,45.05,71.06,6.67
hilo,90,US,1619395774,65,19.7297,-155.09,78.8,14.97
inuvik,100,CA,1619395560,79,68.3499,-133.7218,17.6,9.22
verkhoyansk,100,RU,1619395774,93,67.5447,133.385,31.24,4.32
butaritari,15,KI,1619395775,74,3.0707,172.7902,82.96,11.77
miri,20,MY,1619395775,94,4.4148,114.0089,78.8,2.3
moose factory,1,CA,1619395776,47,51.2585,-80.6094,30.2,9.22
sao filipe,84,CV,1619395776,71,14.8961,-24.4956,72.05,8.84
gold coast,90,AU,1619395777,73,-28,153.4333,73.99,8.05
arlit,67,NE,1619395777,10,18.7369,7.3853,89.65,9.01
torbay,20,CA,1619395777,57,47.6666,-52.7314,44.6,9.22
atuona,52,PF,1619395778,73,-9.8,-139.0333,80.08,15.3
tuatapere,94,NZ,1619395778,90,-46.1333,167.6833,46.99,8.99
port hedland,0,AU,1619395779,43,-20.3167,118.5667,69.8,6.91
alice springs,0,AU,1619395779,39,-23.7,133.8833,60.8,4.61
jalu,0,LY,1619395780,53,29.0331,21.5482,63.73,11.61
bethel,20,US,1619395557,58,41.3712,-73.414,57.2,4.61
longyearbyen,20,SJ,1619395780,67,78.2186,15.6401,14.0,3.44
thompson,75,CA,1619395781,93,55.7435,-97.8558,32.0,4.61
kodiak,90,US,1619395781,75,57.79,-152.4072,42.8,12.66
tsagan aman,100,RU,1619395781,75,47.5639,46.7218,46.0,7.58
tevaitoa,14,PF,1619395782,66,-16.7833,-151.5,81.1,3.33
portland,99,AU,1619395782,66,-38.3333,141.6,60.64,6.91
waipawa,40,NZ,1619395783,55,-41.4122,175.5153,60.8,12.66
carnarvon,0,AU,1619395783,52,-24.8667,113.6333,69.8,8.05
mananjary,95,MG,1619395783,93,-21.2167,48.3333,71.17,5.61
santo tomas,46,PE,1619395784,68,-14.4456,-72.0842,45.72,2.17
hualmay,28,PE,1619395518,84,-11.0964,-77.6139,66.97,8.48
katangli,7,RU,1619395784,53,51.7102,143.2326,31.51,2.42
najran,40,SA,1619395785,44,17.4924,44.1277,77.0,4.45
banda aceh,96,ID,1619395785,74,5.5577,95.3222,80.4,7.63
vanimo,99,PG,1619395816,76,-2.6741,141.3028,79.54,1.63
harper,100,LR,1619395816,85,4.375,-7.7169,77.29,2.75
ngunguru,32,NZ,1619395816,66,-35.6167,174.5,68.0,10
port hawkesbury,75,CA,1619395618,71,45.6169,-61.3485,48.2,10.36
mantua,71,CU,1619395817,69,22.2889,-84.2844,80.78,4.61
norman wells,20,CA,1619395620,38,65.282,-126.8329,37.4,12.66
togur,84,RU,1619395818,98,58.3631,82.8265,31.66,2.21
hasaki,20,JP,1619395818,37,35.7333,140.8333,54.0,18.41
upernavik,50,GL,1619395577,76,72.7868,-56.1549,33.64,4.97
khandyga,100,RU,1619395819,81,62.6667,135.6,27.55,5.61
weatherford,1,US,1619395819,53,32.7593,-97.7972,80.01,3
ahuimanu,75,US,1619395819,69,21.4447,-157.8378,82.4,14.97
qaanaaq,12,GL,1619395820,69,77.484,-69.3632,28.38,7.94
paita,53,PE,1619395821,77,-5.0892,-81.1144,70.75,16.96
cabedelo,20,BR,1619395821,94,-6.9811,-34.8339,77.0,4.61
sola,40,VU,1619395822,70,-13.8833,167.55,86.0,7.54
labuhan,49,ID,1619395822,83,-6.8844,112.2051,78.71,8.86
luganville,67,VU,1619395823,69,-15.5333,167.1667,85.6,5.35
ribeira grande,20,PT,1619395823,82,38.5167,-28.7,57.2,6.91
padang,83,ID,1619395824,83,-0.9492,100.3543,78.33,3.2
millington,1,US,1619395815,40,35.3415,-89.8973,71.6,3.71
flinders,0,AU,1619395763,75,-34.5833,150.8552,66.0,1.99
rodeo,73,MX,1619395824,5,25.1833,-104.55,93.49,20.36
channel-port aux basques,50,CA,1619395825,85,47.5702,-59.1367,39.24,15.05
aswan,0,EG,1619395826,11,24.0934,32.907,85.98,7.16
inhambane,0,MZ,1619395826,92,-23.865,35.3833,68.92,4.72
kaitangata,69,NZ,1619395828,50,-46.2817,169.8464,57.0,11.01
fomboni,95,KM,1619395828,73,-12.28,43.7425,82.02,3.78
macultepec,75,MX,1619395829,74,18.1667,-92.8333,84.2,8.05
dukat,100,RU,1619395829,74,62.55,155.55,12.45,2.82
victoria,20,SC,1619395830,89,-4.6167,55.45,80.6,3.44
cockburn town,40,TC,1619395538,73,21.4612,-71.1419,78.8,11.5
saskylakh,100,RU,1619395571,93,71.9167,114.0833,14.85,23.04
auki,81,SB,1619395813,72,-8.7676,160.7034,85.03,2.84
porbandar,0,IN,1619395831,80,21.6422,69.6093,80.47,11.14
vila velha,20,BR,1619395793,83,-20.3297,-40.2925,78.8,9.22
aklavik,100,CA,1619395832,79,68.2191,-135.0107,17.6,9.22
claremore,1,US,1619395832,33,36.3126,-95.6161,75.2,8.05
ballina,90,AU,1619395833,88,-28.8667,153.5667,66.99,6.91
santa isabel do rio negro,97,BR,1619395833,96,-0.4139,-65.0192,76.15,2.98
pangody,100,RU,1619395834,94,65.85,74.4859,32.59,14.14
nuuk,75,GL,1619395810,87,64.1835,-51.7216,37.4,6.91
lagoa,99,PT,1619395834,84,39.05,-27.9833,59.14,11.48
udachnyy,100,RU,1619395835,90,66.4167,112.4,8.37,25.59
vestmannaeyjar,0,IS,1619395835,80,63.4427,-20.2734,44.08,10
nyurba,100,RU,1619395836,91,63.2842,118.3319,34.25,6.85
tagusao,52,PH,1619395837,74,9.1924,117.8141,82.06,3.56
mongoumba,36,CF,1619395837,97,3.6415,18.5936,69.67,2.26
port blair,95,IN,1619395838,77,11.6667,92.75,81.37,5.53
kitami,20,JP,1619395838,55,43.8031,143.8908,37.0,10.36
taseyevo,100,RU,1619395869,97,57.2169,94.8978,35.69,7.38
vestmanna,100,FO,1619395869,100,62.1564,-7.1664,44.6,14.97
comodoro rivadavia,0,AR,1619395870,76,-45.8667,-67.5,55.4,1.14
chilca,90,PE,1619395870,82,-12.5211,-76.7372,70.0,3.44
tasiilaq,90,GL,1619395871,70,65.6145,-37.6368,39.2,11.5
verkhnyaya inta,100,RU,1619395871,84,65.9811,60.3094,39.51,14.32
pundaguitan,61,PH,1619395872,72,6.3711,126.1689,82.87,5.12
jiazi,98,CN,1619395872,73,22.8779,116.067,71.13,17.65
tabas,97,IR,1619395873,19,33.5959,56.9244,77.32,4
fairbanks,1,US,1619395830,26,64.8378,-147.7164,64.4,4.61
sitka,1,US,1619395873,41,57.0531,-135.33,57.2,3.44
foix,96,FR,1619395874,38,42.8333,1.5833,55.0,6.76
pevek,100,RU,1619395785,89,69.7008,170.3133,22.55,8.81
yerbogachen,93,RU,1619395875,90,61.2767,108.0108,31.17,12.91
tarnova,50,RO,1619395876,87,46.3167,21.8,45.0,9.22
bogorodskoye,100,RU,1619395876,84,56.55,37.8833,32.14,12.97
zinacantepec,75,MX,1619395877,30,19.2819,-99.7386,71.6,5.75
malatya,75,TR,1619395877,62,38.5,38,57.2,6.91
cidreira,87,BR,1619395856,62,-30.1811,-50.2056,67.62,10.4
tocopilla,11,CL,1619395878,72,-22.092,-70.1979,65.44,3.42
afsin,95,TR,1619395878,56,38.2477,36.914,59.59,2.37
maragogi,8,BR,1619395879,82,-9.0122,-35.2225,78.04,6.6
natal,20,BR,1619395700,78,-5.795,-35.2094,80.6,8.05
valmiera,98,LV,1619395880,95,57.5411,25.4275,35.01,1.99
katsuura,20,JP,1619395647,40,35.1333,140.3,55.4,16.11
cabo san lucas,90,MX,1619395880,18,22.8909,-109.9124,84.0,3.44
disna,27,BY,1619395881,95,55.568,28.1971,29.95,8.48
sisimiut,98,GL,1619395881,76,66.9395,-53.6735,38.88,3.76
adilcevaz,75,TR,1619395882,26,38.8039,42.7342,68.0,14.97
ratnagiri,38,IN,1619395882,80,16.9833,73.3,80.11,1.63
tuktoyaktuk,90,CA,1619395883,79,69.4541,-133.0374,14.0,11.5
coihaique,75,CL,1619395883,58,-45.5752,-72.0662,55.4,8.05
ponta delgada,40,PT,1619395883,77,37.7333,-25.6667,59.0,10.36
caravelas,6,BR,1619395884,82,-17.7125,-39.2481,76.05,7.29
novobirilyussy,100,RU,1619395884,99,56.9514,90.6661,35.2,4.12
sergeyevka,3,RU,1619395885,23,43.3392,133.3481,49.96,3.24
bethanien,38,NA,1619395885,38,-26.502,17.1583,68.85,5.01
san policarpo,87,PH,1619395886,81,12.1791,125.5072,79.02,10.02
arica,0,CL,1619395736,68,-18.475,-70.3042,66.2,1.14
esperance,0,AU,1619395857,55,-33.8667,121.9,59.0,16.11
kavaratti,4,IN,1619395887,73,10.5669,72.642,83.7,6.55
mayo,1,CA,1619395887,14,63.5927,-135.8998,57.2,9.22
igarka,94,RU,1619395888,93,67.4667,86.5833,7.52,4.34
khasan,57,RU,1619395888,43,42.4308,130.6434,47.43,4.29
itarema,7,BR,1619395873,79,-2.9248,-39.9167,77.59,8.16
naze,75,JP,1619395890,60,28.3667,129.4833,75.2,11.5
road town,40,VG,1619395653,69,18.4167,-64.6167,80.6,10.36
ryotsu,75,JP,1619395890,61,38.0833,138.4333,48.2,16.11
fortuna,90,US,1619395741,66,40.5982,-124.1573,55.99,6.91
salta,90,AR,1619395891,72,-24.7859,-65.4117,59.0,5.75
matara,54,LK,1619395921,89,5.9485,80.5353,76.62,2.91
leningradskiy,100,RU,1619395922,83,69.3833,178.4167,27.52,1.1
kineta,0,GR,1619395922,71,37.9709,23.2183,54.0,5.75
lorca,80,ES,1619395923,93,37.6712,-1.7017,62.01,4.03
bud,90,NO,1619395923,86,62.9088,6.9145,33.8,5.75
kurchum,13,KZ,1619395924,45,48.5722,83.6542,37.6,6.85
severobaykalsk,100,RU,1619395925,71,55.65,109.3167,32.13,7.9
ketchikan,1,US,1619395925,31,55.3422,-131.6461,60.8,8.05
ixtapa,75,MX,1619395925,78,20.7,-105.2,80.01,12.66
iqaluit,75,CA,1619395926,93,63.7506,-68.5145,32.0,3.44
hastings,1,US,1619395926,38,40.5861,-98.3884,75.2,11.5
tommot,100,RU,1619395927,96,58.9564,126.2925,36.03,6.76
clyde river,90,CA,1619395887,100,70.4692,-68.5914,21.2,25.32
amapa,100,BR,1619395928,99,1,-52,71.06,1.16
moranbah,78,AU,1619395928,60,-22.0016,148.0466,71.51,19.77
guadalupe y calvo,85,MX,1619395929,14,26.1,-106.9667,64.71,10.94
yulara,0,AU,1619395929,44,-25.2406,130.9889,60.8,11.5
mozarlandia,27,BR,1619395930,58,-14.7447,-50.5706,77.14,5.77
atambua,10,ID,1619395931,62,-9.1061,124.8925,76.08,4.27
oistins,20,BB,1619395931,61,13.0667,-59.5333,78.8,14.97
joensuu,90,FI,1619395932,93,62.6012,29.7632,39.0,10.36
balud,75,PH,1619395932,83,10.1476,123.6953,80.6,2.3
laurinburg,90,US,1619395933,46,34.7741,-79.4628,69.8,13.8
khonsa,55,IN,1619395934,39,27.0167,95.5667,68.56,3.87
holetown,20,BB,1619395934,61,13.1867,-59.6381,78.8,14.97
inongo,63,CD,1619395934,96,-1.95,18.2667,71.62,6.69
vardo,41,NO,1619395935,68,70.3705,31.1107,31.86,6.55
trincomalee,47,LK,1619395935,74,8.5711,81.2335,79.52,7.7
florianopolis,75,BR,1619395936,78,-27.6146,-48.5012,71.6,9.22
eldama ravine,98,KE,1619395936,89,0.0516,35.7308,55.18,2.01
nichinan,75,JP,1619395937,36,31.6,131.3667,62.6,17.27
rio grande,13,BR,1619395937,78,-32.035,-52.0986,62.01,1.99
ploemeur,0,FR,1619395938,66,47.7333,-3.4333,50.0,19.57
ipora,99,BR,1619395938,57,-16.4419,-51.1178,70.25,1.52
muroto,0,JP,1619395939,28,33.2833,134.15,57.2,5.75
juneau,20,US,1619395713,27,58.3019,-134.4197,60.8,10.36
saint-augustin,66,CA,1619395940,71,51.226,-58.6502,39.81,5.12
armavir,20,AM,1619395940,51,40.1545,44.0382,62.6,4.61
kampong chhnang,58,KH,1619395941,74,12.1667,104.55,81.52,1.23
dingle,20,IE,1619395941,67,52.1408,-10.2689,47.66,4.92
bathsheba,20,BB,1619395873,61,13.2167,-59.5167,78.8,14.97
acajutla,20,SV,1619395881,45,13.5928,-89.8275,89.6,4.61
tatarsk,100,RU,1619395942,53,55.219,75.9828,42.1,11.63
pontianak,20,ID,1619395943,94,-0.0333,109.3333,77.0,3.2
khatanga,60,RU,1619395943,94,71.9667,102.5,7.99,11.18
humaita,80,BR,1619395943,82,-7.5061,-63.0208,79.18,2.15
pangai,40,TO,1619395944,78,-19.8,-174.35,82.4,11.5
kelowna,1,CA,1619395650,44,49.8831,-119.4857,55.99,6.91
abu dhabi,0,AE,1619395944,50,24.4667,54.3667,84.2,1.14
pandan,100,PH,1619395945,68,14.0453,124.1694,79.36,8.12
barabinsk,99,RU,1619395975,61,55.3571,78.357,40.44,9.22
dunedin,67,NZ,1619395976,41,-45.8742,170.5036,57.0,13
walvis bay,12,NA,1619395977,92,-22.9575,14.5053,61.0,1.01
jieshi,100,CN,1619395977,74,22.8134,115.8257,71.17,17.9
tessalit,1,ML,1619395978,7,20.1986,1.0114,87.51,8.03
pacific grove,100,US,1619395978,79,36.6177,-121.9166,55.99,9.26
san quintin,67,MX,1619395978,65,30.4833,-115.95,62.2,13.87
provideniya,0,RU,1619395836,65,64.3833,-173.3,39.2,4.47
fountain,1,US,1619395979,7,38.6822,-104.7008,78.01,25.32
tabory,89,RU,1619395980,95,58.5198,64.5495,38.14,5.19
bauchi,100,NG,1619395980,52,10.5,10,79.29,3.24
mingaora,1,PK,1619395736,35,34.7758,72.3625,62.1,7.49
beringovskiy,96,RU,1619395981,90,63.05,179.3167,31.64,1.54
rio do sul,40,BR,1619395981,90,-27.2142,-49.6431,69.01,1.68
sulangan,17,PH,1619395982,75,11.1373,123.7228,81.63,12.48
east london,98,ZA,1619395857,59,-33.0153,27.9116,67.62,9.31
panzhihua,9,CN,1619395982,56,26.5851,101.7128,65.26,4.5
ahipara,52,NZ,1619395983,72,-35.1667,173.1667,63.25,8.48
rongcheng,100,CN,1619395983,94,30.634,117.8517,60.26,1.32
itaituba,100,BR,1619395984,96,-4.2761,-55.9836,75.27,1.88
barcelos,95,BR,1619395984,96,-0.9747,-62.9242,75.87,1.48
lavrentiya,85,RU,1619395802,89,65.5833,-171,31.73,1.25
smolensk,12,RU,1619395985,86,55,33,29.53,6.33
lefka,75,CY,1619395986,63,35.1106,32.8506,64.4,8.05
rantauprapat,98,ID,1619395986,95,2.1,99.8333,73.49,1.88
tura,43,RU,1619395986,55,64.2833,100.25,18.64,4.03
belyy yar,97,RU,1619395987,80,53.6039,91.3903,30.2,4.47
masumbwe,100,TZ,1619395987,97,-3.6333,32.1833,63.5,2.35
berdigestyakh,100,RU,1619395988,99,62.0989,126.6992,34.25,5.97
santa cruz de la palma,90,ES,1619395988,68,28.6835,-17.7642,68.0,4.61
nerchinskiy zavod,100,RU,1619395989,27,51.3088,119.61,52.83,10.54
kashmor,0,PK,1619395989,14,28.4333,69.5833,84.65,5.73
novo cruzeiro,80,BR,1619395990,79,-17.4681,-41.8753,69.75,2.15
colares,49,PT,1619395990,87,38.7992,-9.4469,62.01,10.36
luwingu,95,ZM,1619395991,94,-10.2621,29.9271,59.94,4.92
bonfim,97,BR,1619395991,76,3.0833,-59.95,79.83,3.33
skelleftea,90,SE,1619395992,51,64.7507,20.9528,33.8,12.66
ponta do sol,40,CV,1619395992,68,17.1994,-25.0919,69.8,17.27
semey,0,KZ,1619395849,55,50.4111,80.2275,33.8,8.95
madurai,20,IN,1619395993,83,9.9333,78.1167,80.6,2.3
cassilandia,53,BR,1619395994,43,-19.1133,-51.7342,69.66,3.33
chicama,38,PE,1619395861,88,-7.8447,-79.1469,64.4,12.66
santa rosa,0,AR,1619395995,68,-36.6167,-64.2833,53.26,6.31
kaspiyskiy,100,RU,1619395995,56,45.3929,47.3707,53.31,15.61
mimongo,67,GA,1619395995,95,-1.6195,11.6068,69.51,1.16
hatsukaichi,40,JP,1619395996,33,34.35,132.3333,57.2,13.8
hurghada,0,EG,1619395997,60,27.2574,33.8129,73.4,1.9
buraydah,40,SA,1619395997,39,26.326,43.975,80.6,12.66
biltine,99,TD,1619395898,21,14.5333,20.9167,86.54,4.92
vila franca do campo,40,PT,1619395998,77,37.7167,-25.4333,59.0,10.36
westport,16,IE,1619396029,67,53.8,-9.5167,48.0,4.25
lixourion,12,GR,1619396029,58,38.2019,20.4314,55.0,7.83
middelkerke,0,BE,1619396029,70,51.1558,2.8418,42.8,13.8
colac,79,AU,1619396030,99,-38.3333,143.5833,57.0,5.46
biak,89,ID,1619395996,72,-0.9131,122.8766,79.9,5.59
bubaque,46,GW,1619396031,69,11.2833,-15.8333,78.01,20.33
talnakh,91,RU,1619395793,90,69.4865,88.3972,3.9,6.2
bang saphan,40,TH,1619396031,100,11.2126,99.5117,75.2,1.14
roald,90,NO,1619395912,81,62.5833,6.1333,37.4,11.5
kattivakkam,40,IN,1619396032,78,13.2167,80.3167,82.4,4.61
kyra,61,RU,1619396032,55,49.5776,111.9753,43.68,11.77
isla mujeres,1,MX,1619396033,69,21.2311,-86.731,82.4,11.5
lac du bonnet,100,CA,1619395934,88,50.2536,-96.0612,48.99,15.01
shiyan,100,CN,1619396034,90,32.6475,110.7781,56.07,2.19
port macquarie,6,AU,1619396034,66,-31.4333,152.9167,70.0,1.01
katherine,79,AU,1619396034,65,-14.4667,132.2667,82.4,2.3
talcahuano,0,CL,1619395815,94,-36.7167,-73.1167,57.2,11.5
qingyuan,90,CN,1619396035,83,23.7,113.0333,75.0,6.71
sur,30,OM,1619396036,44,22.5667,59.5289,83.35,7.54
komsomolskiy,95,RU,1619396036,87,43.9783,46.6985,52.12,7.76
front royal,1,US,1619396037,51,38.9182,-78.1944,59.0,5.75
pontes e lacerda,100,BR,1619396010,98,-15.2261,-59.3353,67.91,2.98
nador,0,MA,1619396037,94,35.174,-2.9287,60.8,3.2
mustafakemalpasa,40,TR,1619396038,81,40.0353,28.4117,53.01,16.11
kastamonu,100,TR,1619396038,90,41.5,33.6667,45.91,0.43
pokhara,0,NP,1619396039,19,28.2333,83.9833,68.52,7.72
ithaca,20,US,1619396039,65,42.4406,-76.4966,45.0,13.8
dongli,0,CN,1619396040,88,23.5656,116.8194,69.8,5.26
limoncito,40,BO,1619396040,94,-18.0167,-63.4,66.2,9.22
tres arroyos,100,AR,1619395860,74,-38.3739,-60.2798,57.45,5.35
mishima,20,JP,1619396041,26,35.1167,138.9167,53.6,16.11
afua,93,BR,1619396041,95,-0.1567,-50.3867,76.33,4.65
hofn,99,IS,1619396042,76,64.2539,-15.2082,43.92,16.98
necochea,93,AR,1619396042,84,-38.5473,-58.7368,55.99,7.34
wawa,20,CA,1619396043,69,47.9834,-84.7832,30.2,8.05
glendive,1,US,1619396043,44,47.1053,-104.7125,55.4,3.44
wanning,100,CN,1619396044,83,18.8003,110.3967,80.26,6.02
bandarbeyla,85,SO,1619396044,73,9.4942,50.8122,81.82,5.97
hirara,20,JP,1619396045,64,24.8,125.2833,73.4,13.8
mandurah,71,AU,1619396046,94,-32.55,115.7,62.01,4.61
